1,AMELIA ,"5,327"
2,OLIVIA ,"4,724"
3,ISLA ,"4,012"
4,EMILY ,"3,991"
5,POPPY ,"3,273"
6,AVA ,"3,171"
7,ISABELLA ,"3,022"
8,JESSICA ,"2,995"
9,LILY ,"2,965"
10,SOPHIE ,"2,905"
11,GRACE ,"2,785"
12,SOPHIA ,"2,752"
13,MIA ,"2,727"
14,EVIE ,"2,664"
15,RUBY ,"2,595"
16,ELLA ,"2,465"
17,SCARLETT ,"2,359"
18,ISABELLE ,"2,241"
19,CHLOE ,"2,215"
20,SIENNA ,"2,174"
